Primary Trunk line,Color,Hexadecimal,Lines
IND Eighth Avenue Line,Vivid blue,#2850ad,A_C_E
IND Sixth Avenue Line,Bright orange,#ff6319,B_D_F_M
IND Crosstown Line,Lime green,#6cbe45,G
BMT Canarsie Line,Light slate gray,#a7a9ac,L
BMT Nassau Street Line,Terra cotta brown,#996633,J_Z
BMT Broadway Line,Sunflower yellow,#fccc0a,N_Q_R_W
IRT Broadway-Seventh Avenue Line,Tomato red,#ee352e,1_2_3
IRT Lexington Avenue Line,Apple green,#00933c,4_5_6
IRT Flushing Line,Raspberry,#b933ad,7
Shuttles,Dark slate gray,#808183,S
